feature,bin_future,p,N,freq,bin_past,p,N,freq,bin_present,p,N,freq
! (:,0.016494846323554337,0.5592672199481287,4511,6,-0.0029075338207543919,0.9418008352117887,4511,6,-0.0084194213980792864,0.7869735254552925,4511,6
! ),0.0086252256127169798,0.7759823216408298,4511,9,0.0063537942654094057,0.8715282595616112,4511,9,-0.0092283868761115044,0.7627304064029601,4511,9
! ...,-0.0036713064222416779,0.9081274123235095,4511,14,0.021674008890965751,0.5949074833297932,4511,14,-0.011863842391739562,0.6908921046847807,4511,14
! ....,0.0001140629171511451,0.9959031844224322,4511,6,-0.0091264022113913407,0.8128813147077442,4511,6,0.010173993220048125,0.7378586516513137,4511,6
! :),0.013885233236650862,0.629511847673593,4511,23,0.0045941793703231275,0.9049336663842366,4511,23,-0.010141221970179299,0.7378586516513137,4511,23
! :-),-0.0013613355900229658,0.9665882052632324,4511,6,-0.019664153268374483,0.6252258343476071,4511,6,0.021598412309079062,0.4448874923848219,4511,6
! :d,0.011250539922920208,0.7012057462467176,4511,26,-0.020960723164785571,0.6114771387323741,4511,26,0.014515961524204438,0.6218130175043524,4511,26
! :p,0.028884343183050398,0.3057382499602792,4511,5,-0.0054946647780194603,0.8834774065335016,4511,5,-0.017430549050062954,0.5531753255240792,4511,5
! <3,0.016997750349833713,0.5546607574243461,4511,13,-0.0053866173655038197,0.8856935656112763,4511,13,-0.0054501304163854705,0.8724764749216098,4511,13
! =),-0.0034959834590549922,0.9124635277529358,4511,8,0.02239406953051663,0.5717046947371687,4511,8,-0.01335794757976911,0.6510460417590171,4511,8
! ?,0.0098281868447005639,0.7424569440654001,4511,41,-0.0051124108060485495,0.8908605482582891,4511,41,0.0019681070624806593,0.9547169359611797,4511,41
! ? !,0.015052705974382578,0.5923273978333442,4511,16,0.012582837433544911,0.7345390111863312,4511,16,-0.020867291119154821,0.4645879159040701,4511,16
! ? ?,0.030668802798207967,0.2598715095367794,4511,5,-0.0048943193624463102,0.8974184353554666,4511,5,-0.018891226581318948,0.5124360227928977,4511,5
! and,0.0022979510939898783,0.9418797334112871,4511,13,-0.0047081343551443888,0.902083946190382,4511,13,0.0065999547208280586,0.8435992279345874,4511,13
! haha,-0.018910282033498073,0.5516685517151902,4511,6,0.005998903248919444,0.8755416629958916,4511,6,0.014057871667593286,0.6348039613399378,4511,6
! happy,-0.010444432715306231,0.7243727268161826,4511,6,-0.0045091512201836329,0.9073222186800599,4511,6,0.016144820261522131,0.5783151434513132,4511,6
! http://t.co,0.0027418778426110393,0.9314757885931015,4511,14,0.026287759096397603,0.4504064205332383,4511,14,-0.034627409802835393,0.2145554130568703,4511,14
! http://t.co /,0.0016592301058753411,0.9585366917313716,4511,14,0.025456461219852438,0.4755145585515873,4511,14,-0.033666311811255706,0.23177982912473288,4511,14
! i,0.031309788008415537,0.24256438767514746,4511,66,-0.00054551165684883123,0.987221946552209,4511,66,-0.017791398551660932,0.5424762433356373,4511,66
! i don't,0.014389865495882956,0.61253460189366,4511,6,-0.0098484426287350265,0.7970053544727939,4511,6,-0.00038291802928041988,0.9902575622881075,4511,6
! i have,0.015026772050643301,0.593320034973876,4511,5,-0.0097267399917054572,0.7996240967723098,4511,5,-0.0017717759052491996,0.95724533635498,4511,5
! i love,-0.018164947474505578,0.5516685517151902,4511,6,-0.011177918113732557,0.7648209691987325,4511,6,0.028452602730020315,0.314563312301964,4511,6
! i'm,0.012279130531119701,0.6659824386684166,4511,20,-0.0088130860232286268,0.8194082490601736,4511,20,0.0022953768813170337,0.947370430166042,4511,20
! it,-0.022212481452577645,0.5091789301713102,4511,8,0.059400135341663017,0.0028590976002504983,4511,8,-0.029686082038037697,0.299316941821098,4511,8
! it was,-0.018237892290501465,0.5516685517151902,4511,5,0.054645432948604467,0.008502733481426848,4511,5,-0.02955768831503432,0.30139254011183664,4511,5
! its,0.025227033502412816,0.4176812521751721,4511,5,0.011818949991512466,0.7521667906599452,4511,5,-0.029086988629694971,0.3060239930505345,4511,5
! lol,-0.0058921254872498644,0.851691703526881,4511,18,0.021767074234869559,0.5942622752471569,4511,18,-0.009439144164754807,0.7553226194054059,4511,18
! love,-0.010440903915325924,0.7243727268161826,4511,5,-0.0075861634103796963,0.8473549544985232,4511,5,0.018029319300103364,0.5351705565267082,4511,5
! my,0.0011677198906877521,0.9725787632252274,4511,16,-0.0037264066543227087,0.9275267758417398,4511,16,0.0066992225012372135,0.8406955116011675,4511,16
! so,0.041732146452429841,0.06108536391656274,4511,9,-0.01793341555091869,0.6252258343476071,4511,9,-0.016511961888797156,0.5734901344251255,4511,9
! this,-0.0086118564660047116,0.7759823216408298,4511,6,0.024623088369400727,0.501548118957012,4511,6,-0.011037474643722371,0.7124881412519442,4511,6
! yay,0.040201713512265765,0.07723755702210287,4511,13,0.0034232101103459428,0.9304558753828557,4511,13,-0.033132130077064899,0.24164012059362308,4511,13
! yay !,0.031653520973090994,0.23229897721483267,4511,7,0.0047844513214392965,0.8997716868272367,4511,7,-0.0284550873000744,0.314563312301964,4511,7
